Fan Club MkIV data log started on Sun 05 May 2019 18:30:07  using profile "Prov. Cory Hall Array" with up to 4 fans per module.
Modules: |1: A1 - "00:80:e1:38:00:2a" | 2: A2 - "00:80:e1:45:00:46" | 
Column headers are of the form MODULE#-FAN# with all RPMs and then all DCs
Time (s),1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,
0.011s,0,0,0,0,-69,-69,-69,-69,0.0,0.0,0.0,0.0,-69,-69,-69,-69,
0.21s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
0.31s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
0.41s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
0.51s,-69,-69,-69,-69,0,0,0,0,-69,-69,-69,-69,0.0,0.0,0.0,0.0,
0.61s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
0.71s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
0.91s,0,0,0,0,-69,-69,-69,-69,0.0,0.0,0.0,0.0,-69,-69,-69,-69,
1.0s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.2s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.3s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.4s,-69,-69,-69,-69,0,0,0,0,-69,-69,-69,-69,0.0,0.0,0.0,0.0,
1.6s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.7s,0,0,0,0,-69,-69,-69,-69,0.0,0.0,0.0,0.0,-69,-69,-69,-69,
1.8s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.0s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.1s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.2s,-69,-69,-69,-69,0,0,0,0,-69,-69,-69,-69,0.0,0.0,0.0,0.0,
2.3s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.5s,0,0,0,0,-69,-69,-69,-69,0.0,0.0,0.0,0.0,-69,-69,-69,-69,
2.6s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.8s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.9s,-69,-69,-69,-69,0,0,0,0,-69,-69,-69,-69,0.0,0.0,0.0,0.0,
3.0s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.1s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.2s,0,0,0,0,-69,-69,-69,-69,0.0998,0.0998,0.0,0.0,-69,-69,-69,-69,
3.3s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.4s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.5s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.6s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.7s,-69,-69,-69,-69,0,0,0,0,-69,-69,-69,-69,0.0998,0.0998,0.0,0.0,
3.8s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
3.9s,596,656,0,0,-69,-69,-69,-69,0.4794,0.4794,0.0,0.0,-69,-69,-69,-69,
4.0s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.1s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.2s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.3s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.4s,1333,1237,0,0,602,602,0,0,0.7174,0.7174,0.0,0.0,0.4794,0.4794,0.0,0.0,
4.5s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.6s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.7s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.8s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
4.9s,2195,2071,0,0,1301,1139,0,0,0.8912,0.8912,0.0,0.0,0.7174,0.7174,0.0,0.0,
5.0s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
5.1s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
5.3s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
5.4s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
5.5s,2879,2763,0,0,2084,1866,0,0,0.9854,0.9854,0.0,0.0,0.8912,0.8912,0.0,0.0,
5.6s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
5.7s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
5.8s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
5.9s,3309,3217,0,0,-69,-69,-69,-69,0.9917,0.9917,0.0,0.0,-69,-69,-69,-69,
6.0s,-69,-69,-69,-69,2679,2542,0,0,-69,-69,-69,-69,0.9854,0.9854,0.0,0.0,
6.1s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
6.2s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
6.3s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
6.4s,3442,3411,0,0,3081,3000,0,0,0.9093,0.9093,0.0,0.0,0.9917,0.9917,0.0,0.0,
6.5s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
6.6s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
6.7s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
6.8s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
6.9s,3268,3297,0,0,3289,3204,0,0,0.7457,0.7457,0.0,0.0,0.9093,0.9093,0.0,0.0,
7.0s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
7.1s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
7.2s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
7.3s,2829,2898,0,0,-69,-69,-69,-69,0.5155,0.5155,0.0,0.0,-69,-69,-69,-69,
7.4s,-69,-69,-69,-69,3157,3096,0,0,-69,-69,-69,-69,0.7457,0.7457,0.0,0.0,
7.5s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
7.6s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
7.7s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
7.8s,2120,2227,0,0,2731,2704,0,0,0.2392,0.2392,0.0,0.0,0.5155,0.5155,0.0,0.0,
