Fan Club MkIV (1.0) data log started on Mon 27 May 2019 18:44:05  using profile "Prov. Basement Tunnel"
Filename: "/home/asz/Projects/fan-club/master/flow_catalog_b1/historical/kite-flow/ctg22_kite-400ms.csv"
Modules: |"1": B1 - "00:80:e1:4b:00:36" | "2": B2 - "00:80:e1:2f:00:1d" | "3": B3 - "00:80:e1:29:00:2e" | "4": B4 - "00:80:e1:27:00:3e" | "5": B5 - "00:80:e1:4b:00:42" | "6": B6 - "00:80:e1:47:00:3d" | 
Dimensions (rows, columns, layers): 11x11x1
Max Fans: 21
Fan Array Mapping(s):
	Mapping 1: {0: {0: 63, 1: 64, 2: 65, 3: 66, 4: 67, 5: 103, 6: 101, 7: 97, 8: 93, 9: 89, 10: 86, 11: 68, 12: 69, 13: 70, 14: 71, 15: 72, 16: 102, 17: 100, 18: 96, 19: 92, 20: 88, 21: 85, 22: 73, 23: 74, 24: 75, 25: 76, 26: 77, 27: 78, 28: 99, 29: 95, 30: 91, 31: 87, 32: 84, 33: 60, 34: 61, 35: 79, 36: 80, 37: 81, 38: 82, 39: 98, 40: 94, 41: 90, 42: 114, 43: 109, 44: 55, 45: 56, 46: 57, 47: 58, 48: 59, 49: 125, 50: 123, 51: 120, 52: 117, 53: 113, 54: 108, 55: 49, 56: 50, 57: 51, 58: 52, 59: 53, 60: 54, 61: 122, 62: 119, 63: 116, 64: 112, 65: 107, 66: 44, 67: 45, 68: 46, 69: 47, 70: 48, 71: 124, 72: 121, 73: 118, 74: 115, 75: 111, 76: 106, 77: 42, 78: 43, 79: 34, 80: 30, 81: 26, 82: 19, 83: 17, 84: 13, 85: 9, 86: 110, 87: 105, 88: 40, 89: 37, 90: 33, 91: 29, 92: 25, 93: 18, 94: 16, 95: 12, 96: 8, 97: 5, 98: 2, 99: 39, 100: 36, 101: 32, 102: 28, 103: 24, 104: 22, 105: 15, 106: 11, 107: 7, 108: 4, 109: 1, 110: 38, 111: 35, 112: 31, 113: 27, 114: 23, 115: 21, 116: 14, 117: 10, 118: 6, 119: 3, 120: 0}}
Script (Flattened. Replace ; for newline):
# Hard-coded "kite" flow;# NOTE: "average" time-step is taken to be 221 ms;;kite_flow = [0.23252,0.22738,0.23887,0.30736,0.32454,0.66025,0.68848,0.7445,0.69931,0.59744,0.43714,0.43046,0.44359,0.4994,0.55247,0.63333,0.66539,0.69745,0.81081,0.87537,0.87887,0.84583,0.65915,0.58179,0.52063,0.4472,0.45869,0.44151,0.4286,0.46088,0.71638,0.93106,1,0.99168,0.93074,0.74417,0.65948,0.24543,0.31831,0.32203,0.32553,0.3496,0.9373,0.74658,0.55192,0.41383,0.3728,0.38363,0.34282,0.28176,0.2125,0.17551,0.18328,0.25583,0.28625,0.49896,0.5714,0.59449,0.6969,0.72492,0.73673,0.73619,0.70314,0.66189,0.64898,0.36142,0.34796,0.14706,0.13831,0.13754,0.1858,0.22191,0.26633,0.3473,0.63103,0.71583,0.78455,0.82088,0.85699,0.82,0.71397,0.61593,0.55061,0.48123,0.15264,0.13984,0.10297,0.13076,0.187,0.21085];;if t == 0:;	return kite_flow[0];elif t >= len(kite_flow):;	return kite_flow[-1];else:;	return kite_flow[t];;
Column headers are of the form s[MODULE#][type][FAN#]with type being first "rpm" and then all "dc"
Time (s),s1rpm1,s1rpm2,s1rpm3,s1rpm4,s1rpm5,s1rpm6,s1rpm7,s1rpm8,s1rpm9,s1rpm10,s1rpm11,s1rpm12,s1rpm13,s1rpm14,s1rpm15,s1rpm16,s1rpm17,s1rpm18,s1rpm19,s1rpm20,s1rpm21,s2rpm1,s2rpm2,s2rpm3,s2rpm4,s2rpm5,s2rpm6,s2rpm7,s2rpm8,s2rpm9,s2rpm10,s2rpm11,s2rpm12,s2rpm13,s2rpm14,s2rpm15,s2rpm16,s2rpm17,s2rpm18,s2rpm19,s2rpm20,s2rpm21,s3rpm1,s3rpm2,s3rpm3,s3rpm4,s3rpm5,s3rpm6,s3rpm7,s3rpm8,s3rpm9,s3rpm10,s3rpm11,s3rpm12,s3rpm13,s3rpm14,s3rpm15,s3rpm16,s3rpm17,s3rpm18,s3rpm19,s3rpm20,s3rpm21,s4rpm1,s4rpm2,s4rpm3,s4rpm4,s4rpm5,s4rpm6,s4rpm7,s4rpm8,s4rpm9,s4rpm10,s4rpm11,s4rpm12,s4rpm13,s4rpm14,s4rpm15,s4rpm16,s4rpm17,s4rpm18,s4rpm19,s4rpm20,s4rpm21,s5rpm1,s5rpm2,s5rpm3,s5rpm4,s5rpm5,s5rpm6,s5rpm7,s5rpm8,s5rpm9,s5rpm10,s5rpm11,s5rpm12,s5rpm13,s5rpm14,s5rpm15,s5rpm16,s5rpm17,s5rpm18,s5rpm19,s5rpm20,s5rpm21,s6rpm1,s6rpm2,s6rpm3,s6rpm4,s6rpm5,s6rpm6,s6rpm7,s6rpm8,s6rpm9,s6rpm10,s6rpm11,s6rpm12,s6rpm13,s6rpm14,s6rpm15,s6rpm16,s6rpm17,s6rpm18,s6rpm19,s6rpm20,s6rpm21,s1dc1,s1dc2,s1dc3,s1dc4,s1dc5,s1dc6,s1dc7,s1dc8,s1dc9,s1dc10,s1dc11,s1dc12,s1dc13,s1dc14,s1dc15,s1dc16,s1dc17,s1dc18,s1dc19,s1dc20,s1dc21,s2dc1,s2dc2,s2dc3,s2dc4,s2dc5,s2dc6,s2dc7,s2dc8,s2dc9,s2dc10,s2dc11,s2dc12,s2dc13,s2dc14,s2dc15,s2dc16,s2dc17,s2dc18,s2dc19,s2dc20,s2dc21,s3dc1,s3dc2,s3dc3,s3dc4,s3dc5,s3dc6,s3dc7,s3dc8,s3dc9,s3dc10,s3dc11,s3dc12,s3dc13,s3dc14,s3dc15,s3dc16,s3dc17,s3dc18,s3dc19,s3dc20,s3dc21,s4dc1,s4dc2,s4dc3,s4dc4,s4dc5,s4dc6,s4dc7,s4dc8,s4dc9,s4dc10,s4dc11,s4dc12,s4dc13,s4dc14,s4dc15,s4dc16,s4dc17,s4dc18,s4dc19,s4dc20,s4dc21,s5dc1,s5dc2,s5dc3,s5dc4,s5dc5,s5dc6,s5dc7,s5dc8,s5dc9,s5dc10,s5dc11,s5dc12,s5dc13,s5dc14,s5dc15,s5dc16,s5dc17,s5dc18,s5dc19,s5dc20,s5dc21,s6dc1,s6dc2,s6dc3,s6dc4,s6dc5,s6dc6,s6dc7,s6dc8,s6dc9,s6dc10,s6dc11,s6dc12,s6dc13,s6dc14,s6dc15,s6dc16,s6dc17,s6dc18,s6dc19,s6dc20,s6dc21,
0.04037213325500488,2674,2645,2656,2650,2679,2649,2657,2696,2656,2668,2682,2678,2680,2675,2677,2701,2656,2663,2646,2674,0,2684,2702,2673,2666,2661,2644,2693,2682,2631,2664,2652,2684,2692,2683,2676,2688,2675,2673,2678,2685,0,2704,2697,2677,2669,2694,2686,2660,2691,2640,2682,2692,2674,2671,2672,2672,2669,2671,2624,2682,2689,0,2662,2671,2666,2688,2674,2688,2670,2683,2641,2662,2701,2643,2686,2659,2637,2689,2648,2701,2690,2681,0,2682,2667,2656,2691,2657,2681,2652,2684,2681,2674,2677,2697,2672,2666,2684,2676,2665,2680,2690,2687,0,2670,2671,2691,2683,2637,2644,2670,2658,2672,2694,2681,2659,2663,2657,2702,2680,2692,2676,2644,2683,2648,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,
0.14245080947875977,2674,2645,2656,2650,2679,2649,2657,2696,2656,2668,2682,2678,2680,2675,2677,2701,2656,2663,2646,2674,0,2684,2702,2673,2666,2661,2644,2693,2682,2631,2664,2652,2684,2692,2683,2676,2688,2675,2673,2678,2685,0,2704,2697,2677,2669,2694,2686,2660,2691,2640,2682,2692,2674,2671,2672,2672,2669,2671,2624,2682,2689,0,2662,2671,2666,2688,2674,2688,2670,2683,2641,2662,2701,2643,2686,2659,2637,2689,2648,2701,2690,2681,0,2682,2667,2656,2691,2657,2681,2652,2684,2681,2674,2677,2697,2672,2666,2684,2676,2665,2680,2690,2687,0,2670,2671,2691,2683,2637,2644,2670,2658,2672,2694,2681,2659,2663,2657,2702,2680,2692,2676,2644,2683,2648,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,
0.24427223205566406,2674,2645,2656,2650,2679,2649,2657,2696,2656,2668,2682,2678,2680,2675,2677,2701,2656,2663,2646,2674,0,2684,2702,2673,2666,2661,2644,2693,2682,2631,2664,2652,2684,2692,2683,2676,2688,2675,2673,2678,2685,0,2704,2697,2677,2669,2694,2686,2660,2691,2640,2682,2692,2674,2671,2672,2672,2669,2671,2624,2682,2689,0,2662,2671,2666,2688,2674,2688,2670,2683,2641,2662,2701,2643,2686,2659,2637,2689,2648,2701,2690,2681,0,2682,2667,2656,2691,2657,2681,2652,2684,2681,2674,2677,2697,2672,2666,2684,2676,2665,2680,2690,2687,0,2670,2671,2691,2683,2637,2644,2670,2658,2672,2694,2681,2659,2663,2657,2702,2680,2692,2676,2644,2683,2648,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,
0.3459193706512451,2674,2645,2656,2650,2679,2649,2657,2696,2656,2668,2682,2678,2680,2675,2677,2701,2656,2663,2646,2674,0,2684,2702,2673,2666,2661,2644,2693,2682,2631,2664,2652,2684,2692,2683,2676,2688,2675,2673,2678,2685,0,2704,2697,2677,2669,2694,2686,2660,2691,2640,2682,2692,2674,2671,2672,2672,2669,2671,2624,2682,2689,0,2662,2671,2666,2688,2674,2688,2670,2683,2641,2662,2701,2643,2686,2659,2637,2689,2648,2701,2690,2681,0,2682,2667,2656,2691,2657,2681,2652,2684,2681,2674,2677,2697,2672,2666,2684,2676,2665,2680,2690,2687,0,2670,2671,2691,2683,2637,2644,2670,2658,2672,2694,2681,2659,2663,2657,2702,2680,2692,2676,2644,2683,2648,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,
0.4475061893463135,2672,2644,2656,2652,2679,2650,2656,2694,2659,2668,2683,2675,2676,2680,2677,2700,2652,2663,2652,2674,0,2684,2702,2673,2666,2661,2644,2693,2682,2631,2664,2652,2684,2692,2683,2676,2688,2675,2673,2678,2685,0,2704,2697,2677,2669,2694,2686,2660,2691,2640,2682,2692,2674,2671,2672,2672,2669,2671,2624,2682,2689,0,2664,2671,2664,2686,2672,2689,2665,2686,2640,2665,2700,2643,2683,2660,2637,2688,2646,2702,2689,2682,0,2681,2666,2656,2692,2657,2680,2653,2689,2682,2673,2679,2696,2672,2668,2686,2677,2664,2679,2689,2689,0,2668,2668,2692,2683,2636,2645,2668,2658,2667,2696,2681,2660,2664,2658,2696,2678,2692,2677,2650,2681,2637,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,
0.5490303039550781,2672,2644,2656,2652,2679,2650,2656,2694,2659,2668,2683,2675,2676,2680,2677,2700,2652,2663,2652,2674,0,2684,2706,2674,2663,2665,2643,2693,2682,2630,2663,2651,2680,2691,2683,2678,2688,2675,2673,2680,2687,0,2704,2697,2677,2669,2694,2686,2660,2691,2640,2682,2692,2674,2671,2672,2672,2669,2671,2624,2682,2689,0,2664,2671,2664,2686,2672,2689,2665,2686,2640,2665,2700,2643,2683,2660,2637,2688,2646,2702,2689,2682,0,2681,2666,2656,2692,2657,2680,2653,2689,2682,2673,2679,2696,2672,2668,2686,2677,2664,2679,2689,2689,0,2668,2668,2692,2683,2636,2645,2668,2658,2667,2696,2681,2660,2664,2658,2696,2678,2692,2677,2650,2681,2637,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,
0.6506104469299316,2672,2644,2656,2652,2679,2650,2656,2694,2659,2668,2683,2675,2676,2680,2677,2700,2652,2663,2652,2674,0,2684,2706,2674,2663,2665,2643,2693,2682,2630,2663,2651,2680,2691,2683,2678,2688,2675,2673,2680,2687,0,2703,2696,2677,2671,2696,2686,2656,2692,2640,2682,2693,2674,2673,2672,2670,2669,2672,2628,2678,2689,0,2664,2671,2664,2686,2672,2689,2665,2686,2640,2665,2700,2643,2683,2660,2637,2688,2646,2702,2689,2682,0,2681,2666,2656,2692,2657,2680,2653,2689,2682,2673,2679,2696,2672,2668,2686,2677,2664,2679,2689,2689,0,2668,2668,2692,2683,2636,2645,2668,2658,2667,2696,2681,2660,2664,2658,2696,2678,2692,2677,2650,2681,2637,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,
0.7521486282348633,2672,2644,2656,2652,2679,2650,2656,2694,2659,2668,2683,2675,2676,2680,2677,2700,2652,2663,2652,2674,0,2684,2706,2674,2663,2665,2643,2693,2682,2630,2663,2651,2680,2691,2683,2678,2688,2675,2673,2680,2687,0,2703,2696,2677,2671,2696,2686,2656,2692,2640,2682,2693,2674,2673,2672,2670,2669,2672,2628,2678,2689,0,2664,2671,2664,2686,2672,2689,2665,2686,2640,2665,2700,2643,2683,2660,2637,2688,2646,2702,2689,2682,0,2681,2666,2656,2692,2657,2680,2653,2689,2682,2673,2679,2696,2672,2668,2686,2677,2664,2679,2689,2689,0,2668,2668,2692,2683,2636,2645,2668,2658,2667,2696,2681,2660,2664,2658,2696,2678,2692,2677,2650,2681,2637,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,
0.8536801338195801,2672,2644,2656,2652,2679,2650,2656,2694,2659,2668,2683,2675,2676,2680,2677,2700,2652,2663,2652,2674,0,2684,2706,2674,2663,2665,2643,2693,2682,2630,2663,2651,2680,2691,2683,2678,2688,2675,2673,2680,2687,0,2703,2696,2677,2671,2696,2686,2656,2692,2640,2682,2693,2674,2673,2672,2670,2669,2672,2628,2678,2689,0,2664,2671,2664,2686,2672,2689,2665,2686,2640,2665,2700,2643,2683,2660,2637,2688,2646,2702,2689,2682,0,2681,2666,2656,2692,2657,2680,2653,2689,2682,2673,2679,2696,2672,2668,2686,2677,2664,2679,2689,2689,0,2668,2668,2692,2683,2636,2645,2668,2658,2667,2696,2681,2660,2664,2658,2696,2678,2692,2677,2650,2681,2637,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,
0.9553053379058838,2672,2644,2656,2652,2679,2650,2656,2694,2659,2668,2683,2675,2676,2680,2677,2700,2652,2663,2652,2674,0,2684,2706,2674,2663,2665,2643,2693,2682,2630,2663,2651,2680,2691,2683,2678,2688,2675,2673,2680,2687,0,2703,2696,2677,2671,2696,2686,2656,2692,2640,2682,2693,2674,2673,2672,2670,2669,2672,2628,2678,2689,0,2664,2671,2664,2686,2672,2689,2665,2686,2640,2665,2700,2643,2683,2660,2637,2688,2646,2702,2689,2682,0,2681,2666,2656,2692,2657,2680,2653,2689,2682,2673,2679,2696,2672,2668,2686,2677,2664,2679,2689,2689,0,2668,2668,2692,2683,2636,2645,2668,2658,2667,2696,2681,2660,2664,2658,2696,2678,2692,2677,2650,2681,2637,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.0,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,
