Fan Club MkIV (0.9) data log started on Fri 24 May 2019 15:57:24  using profile "Prov. Basement Tunnel"
Filename: "/home/asz/Projects/fan-club/master/flow_catalog_b1/spanwise-1D/sine_perpendicular/downstream_100/ctg14-2_sine-perpendicular_center_100.csv"
Modules: |"1": B1 - "00:80:e1:4b:00:36" | "2": B2 - "00:80:e1:2f:00:1d" | "3": B3 - "00:80:e1:29:00:2e" | "4": B4 - "00:80:e1:27:00:3e" | "5": B5 - "00:80:e1:4b:00:42" | "6": B6 - "00:80:e1:47:00:3d" | 
Dimensions (rows, columns, layers): 11x11x1
Max Fans: 21
Fan Array Mapping(s):
	Mapping 1: {0: {0: 63, 1: 64, 2: 65, 3: 66, 4: 67, 5: 103, 6: 101, 7: 97, 8: 93, 9: 89, 10: 86, 11: 68, 12: 69, 13: 70, 14: 71, 15: 72, 16: 102, 17: 100, 18: 96, 19: 92, 20: 88, 21: 85, 22: 73, 23: 74, 24: 75, 25: 76, 26: 77, 27: 78, 28: 99, 29: 95, 30: 91, 31: 87, 32: 84, 33: 60, 34: 61, 35: 79, 36: 80, 37: 81, 38: 82, 39: 98, 40: 94, 41: 90, 42: 114, 43: 109, 44: 55, 45: 56, 46: 57, 47: 58, 48: 59, 49: 125, 50: 123, 51: 120, 52: 117, 53: 113, 54: 108, 55: 49, 56: 50, 57: 51, 58: 52, 59: 53, 60: 54, 61: 122, 62: 119, 63: 116, 64: 112, 65: 107, 66: 44, 67: 45, 68: 46, 69: 47, 70: 48, 71: 124, 72: 121, 73: 118, 74: 115, 75: 111, 76: 106, 77: 42, 78: 43, 79: 34, 80: 30, 81: 26, 82: 19, 83: 17, 84: 13, 85: 9, 86: 110, 87: 105, 88: 40, 89: 37, 90: 33, 91: 29, 92: 25, 93: 18, 94: 16, 95: 12, 96: 8, 97: 5, 98: 2, 99: 39, 100: 36, 101: 32, 102: 28, 103: 24, 104: 22, 105: 15, 106: 11, 107: 7, 108: 4, 109: 1, 110: 38, 111: 35, 112: 31, 113: 27, 114: 23, 115: 21, 116: 14, 117: 10, 118: 6, 119: 3, 120: 0}}
Steady function (Flattened. Replace ; for newline):
;
Dynamic function (Flattened. Replace ; for newline):
# row or column offsetted sine wave;# assuming time step of 100ms;;t_0 = 20 # time steps to wait;t_f = 600 # time steps after which to stop;res = 100 # steps in 1 period;;a = .3 # amplitude in DC;b = 2*math.pi/res # angular freq;c_col = 0 # column-wise phase;c_row = 2*math.pi*(r/R) # row-wise phase;c = -2*math.pi*t_0/res + c_col + c_row # phase shift;;d = 0.4 # vertical offset in DC;;x = t%res # argument;;if t < t_0:;	return d;elif t_f is not None and t > t_f:;	return d;else:;	return a*math.sin(b*x + c) + d;;;
Column headers are of the form s[MODULE#][type][FAN#]with type being first "rpm" and then all "dc"
Time (s),s1rpm1,s1rpm2,s1rpm3,s1rpm4,s1rpm5,s1rpm6,s1rpm7,s1rpm8,s1rpm9,s1rpm10,s1rpm11,s1rpm12,s1rpm13,s1rpm14,s1rpm15,s1rpm16,s1rpm17,s1rpm18,s1rpm19,s1rpm20,s1rpm21,s2rpm1,s2rpm2,s2rpm3,s2rpm4,s2rpm5,s2rpm6,s2rpm7,s2rpm8,s2rpm9,s2rpm10,s2rpm11,s2rpm12,s2rpm13,s2rpm14,s2rpm15,s2rpm16,s2rpm17,s2rpm18,s2rpm19,s2rpm20,s2rpm21,s3rpm1,s3rpm2,s3rpm3,s3rpm4,s3rpm5,s3rpm6,s3rpm7,s3rpm8,s3rpm9,s3rpm10,s3rpm11,s3rpm12,s3rpm13,s3rpm14,s3rpm15,s3rpm16,s3rpm17,s3rpm18,s3rpm19,s3rpm20,s3rpm21,s4rpm1,s4rpm2,s4rpm3,s4rpm4,s4rpm5,s4rpm6,s4rpm7,s4rpm8,s4rpm9,s4rpm10,s4rpm11,s4rpm12,s4rpm13,s4rpm14,s4rpm15,s4rpm16,s4rpm17,s4rpm18,s4rpm19,s4rpm20,s4rpm21,s5rpm1,s5rpm2,s5rpm3,s5rpm4,s5rpm5,s5rpm6,s5rpm7,s5rpm8,s5rpm9,s5rpm10,s5rpm11,s5rpm12,s5rpm13,s5rpm14,s5rpm15,s5rpm16,s5rpm17,s5rpm18,s5rpm19,s5rpm20,s5rpm21,s6rpm1,s6rpm2,s6rpm3,s6rpm4,s6rpm5,s6rpm6,s6rpm7,s6rpm8,s6rpm9,s6rpm10,s6rpm11,s6rpm12,s6rpm13,s6rpm14,s6rpm15,s6rpm16,s6rpm17,s6rpm18,s6rpm19,s6rpm20,s6rpm21,s1dc1,s1dc2,s1dc3,s1dc4,s1dc5,s1dc6,s1dc7,s1dc8,s1dc9,s1dc10,s1dc11,s1dc12,s1dc13,s1dc14,s1dc15,s1dc16,s1dc17,s1dc18,s1dc19,s1dc20,s1dc21,s2dc1,s2dc2,s2dc3,s2dc4,s2dc5,s2dc6,s2dc7,s2dc8,s2dc9,s2dc10,s2dc11,s2dc12,s2dc13,s2dc14,s2dc15,s2dc16,s2dc17,s2dc18,s2dc19,s2dc20,s2dc21,s3dc1,s3dc2,s3dc3,s3dc4,s3dc5,s3dc6,s3dc7,s3dc8,s3dc9,s3dc10,s3dc11,s3dc12,s3dc13,s3dc14,s3dc15,s3dc16,s3dc17,s3dc18,s3dc19,s3dc20,s3dc21,s4dc1,s4dc2,s4dc3,s4dc4,s4dc5,s4dc6,s4dc7,s4dc8,s4dc9,s4dc10,s4dc11,s4dc12,s4dc13,s4dc14,s4dc15,s4dc16,s4dc17,s4dc18,s4dc19,s4dc20,s4dc21,s5dc1,s5dc2,s5dc3,s5dc4,s5dc5,s5dc6,s5dc7,s5dc8,s5dc9,s5dc10,s5dc11,s5dc12,s5dc13,s5dc14,s5dc15,s5dc16,s5dc17,s5dc18,s5dc19,s5dc20,s5dc21,s6dc1,s6dc2,s6dc3,s6dc4,s6dc5,s6dc6,s6dc7,s6dc8,s6dc9,s6dc10,s6dc11,s6dc12,s6dc13,s6dc14,s6dc15,s6dc16,s6dc17,s6dc18,s6dc19,s6dc20,s6dc21,
0.07230353355407715,4595,4588,4591,4564,4594,4584,4619,4654,4599,4659,4586,4602,4595,4611,4614,4653,4601,4615,4595,4616,0,4590,4629,4615,4561,4627,4571,4661,4570,4561,4597,4573,4609,4586,4580,4576,4580,4581,4595,4658,4655,0,4600,4606,4667,4585,4614,4575,4587,4589,4561,4542,4587,4611,4602,4597,4585,4588,4589,4581,4611,4609,0,4570,4584,4556,4602,4605,4579,4586,4579,4603,4594,4607,4564,4595,4593,4571,4598,4571,4593,4598,4622,0,4642,4594,4600,4662,4632,4658,4605,4578,4604,4579,4589,4623,4592,4594,4613,4593,4616,4585,4587,4595,0,4641,4575,4569,4642,4568,4581,4599,4650,4627,4616,4611,4573,4609,4615,4614,4624,4581,4604,4575,4598,4614,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
0.17489242553710938,4595,4588,4591,4564,4594,4584,4619,4654,4599,4659,4586,4602,4595,4611,4614,4653,4601,4615,4595,4616,0,4590,4629,4615,4561,4627,4571,4661,4570,4561,4597,4573,4609,4586,4580,4576,4580,4581,4595,4658,4655,0,4600,4606,4667,4585,4614,4575,4587,4589,4561,4542,4587,4611,4602,4597,4585,4588,4589,4581,4611,4609,0,4570,4584,4556,4602,4605,4579,4586,4579,4603,4594,4607,4564,4595,4593,4571,4598,4571,4593,4598,4622,0,4642,4594,4600,4662,4632,4658,4605,4578,4604,4579,4589,4623,4592,4594,4613,4593,4616,4585,4587,4595,0,4641,4575,4569,4642,4568,4581,4599,4650,4627,4616,4611,4573,4609,4615,4614,4624,4581,4604,4575,4598,4614,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
0.27642011642456055,4595,4588,4591,4564,4594,4584,4619,4654,4599,4659,4586,4602,4595,4611,4614,4653,4601,4615,4595,4616,0,4591,4633,4617,4555,4613,4567,4662,4568,4562,4598,4573,4611,4585,4586,4571,4582,4586,4599,4656,4646,0,4603,4610,4667,4584,4617,4563,4591,4590,4557,4543,4585,4614,4601,4592,4586,4588,4588,4581,4612,4610,0,4572,4584,4555,4604,4605,4581,4584,4578,4601,4592,4608,4561,4594,4591,4574,4599,4568,4594,4589,4622,0,4642,4594,4600,4662,4632,4658,4605,4578,4604,4579,4589,4623,4592,4594,4613,4593,4616,4585,4587,4595,0,4638,4581,4567,4638,4570,4579,4596,4650,4627,4611,4606,4583,4597,4624,4615,4606,4589,4607,4584,4604,4616,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
0.4280695915222168,4599,4589,4583,4569,4594,4585,4619,4652,4602,4662,4591,4603,4596,4618,4616,4651,4604,4621,4596,4609,0,4591,4633,4617,4555,4613,4567,4662,4568,4562,4598,4573,4611,4585,4586,4571,4582,4586,4599,4656,4646,0,4603,4610,4667,4584,4617,4563,4591,4590,4557,4543,4585,4614,4601,4592,4586,4588,4588,4581,4612,4610,0,4572,4584,4555,4604,4605,4581,4584,4578,4601,4592,4608,4561,4594,4591,4574,4599,4568,4594,4589,4622,0,4645,4600,4605,4657,4631,4660,9223,4578,4605,4578,4582,4622,4593,4596,4617,4594,4615,4581,4586,4595,0,4638,4581,4567,4638,4570,4579,4596,4650,4627,4611,4606,4583,4597,4624,4615,4606,4589,4607,4584,4604,4616,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
0.579775333404541,4599,4589,4583,4569,4594,4585,4619,4652,4602,4662,4591,4603,4596,4618,4616,4651,4604,4621,4596,4609,0,4591,4626,4617,4563,4617,4568,4661,4569,4558,4599,4574,4610,4592,4583,4559,4582,4594,4602,4652,4648,0,4603,4610,4667,4584,4617,4563,4591,4590,4557,4543,4585,4614,4601,4592,4586,4588,4588,4581,4612,4610,0,4572,4584,4555,4604,4605,4581,4584,4578,4601,4592,4608,4561,4594,4591,4574,4599,4568,4594,4589,4622,0,4645,4600,4605,4657,4631,4660,9223,4578,4605,4578,4582,4622,4593,4596,4617,4594,4615,4581,4586,4595,0,4644,4581,4571,4637,4568,4575,4593,4654,4626,4617,4602,4584,4594,4632,4598,4606,4599,4612,4582,4599,4614,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
0.7314229011535645,4599,4589,4583,4569,4594,4585,4619,4652,4602,4662,4591,4603,4596,4618,4616,4651,4604,4621,4596,4609,0,4591,4626,4617,4563,4617,4568,4661,4569,4558,4599,4574,4610,4592,4583,4559,4582,4594,4602,4652,4648,0,4605,4610,4665,4584,4616,4564,4591,4587,4561,4548,4586,4612,4610,4597,4584,4591,4584,4575,4609,4611,0,4573,4584,4556,4603,4606,4585,4589,4572,4610,4587,4607,4559,4591,4586,4577,4600,4574,4590,4593,4624,0,4646,4596,4604,4656,4633,4657,4609,4582,4609,4577,4579,4624,4596,4597,4619,4593,4615,4577,4587,4597,0,4644,4581,4571,4637,4568,4575,4593,4654,4626,4617,4602,4584,4594,4632,4598,4606,4599,4612,4582,4599,4614,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
0.8328020572662354,4601,4585,4578,4568,4592,4581,4619,4644,4598,4661,4594,4601,4594,4617,4614,4656,4603,4617,4590,4612,0,4591,4626,4617,4563,4617,4568,4661,4569,4558,4599,4574,4610,4592,4583,4559,4582,4594,4602,4652,4648,0,4605,4610,4665,4584,4616,4564,4591,4587,4561,4548,4586,4612,4610,4597,4584,4591,4584,4575,4609,4611,0,4573,4584,4556,4603,4606,4585,4589,4572,4610,4587,4607,4559,4591,4586,4577,4600,4574,4590,4593,4624,0,4646,4596,4604,4656,4633,4657,4609,4582,4609,4577,4579,4624,4596,4597,4619,4593,4615,4577,4587,4597,0,4642,4578,4571,4643,4564,4582,4593,4649,4620,4627,4603,4582,4607,4630,4596,4613,4607,4615,4572,4598,4610,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
0.93418288230896,4601,4585,4578,4568,4592,4581,4619,4644,4598,4661,4594,4601,4594,4617,4614,4656,4603,4617,4590,4612,0,4591,4615,4618,4584,4612,4573,4662,4565,4558,4599,4574,4613,4592,4584,4567,4582,4591,4593,4656,4656,0,4605,4610,4665,4584,4616,4564,4591,4587,4561,4548,4586,4612,4610,4597,4584,4591,4584,4575,4609,4611,0,4573,4584,4556,4603,4606,4585,4589,4572,4610,4587,4607,4559,4591,4586,4577,4600,4574,4590,4593,4624,0,4646,4596,4604,4656,4633,4657,4609,4582,4609,4577,4579,4624,4596,4597,4619,4593,4615,4577,4587,4597,0,4642,4578,4571,4643,4564,4582,4593,4649,4620,4627,4603,4582,4607,4630,4596,4613,4607,4615,4572,4598,4610,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
1.0859532356262207,4601,4585,4578,4568,4592,4581,4619,4644,4598,4661,4594,4601,4594,4617,4614,4656,4603,4617,4590,4612,0,4591,4615,4618,4584,4612,4573,4662,4565,4558,4599,4574,4613,4592,4584,4567,4582,4591,4593,4656,4656,0,4601,4603,4665,4593,4615,4570,4588,4593,4552,4543,4583,4611,4609,4603,4583,4593,4588,4578,4610,4610,0,4576,4585,4558,4604,4609,4587,4585,4576,4617,4586,4607,4558,4588,4587,4579,4603,4571,4595,4592,4624,0,4646,4595,4608,4651,4629,4658,4611,4580,4612,4577,4580,4627,4599,4593,4616,4595,4605,4584,4592,4593,0,4642,4578,4571,4643,4564,4582,4593,4649,4620,4627,4603,4582,4607,4630,4596,4613,4607,4615,4572,4598,4610,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
1.237595558166504,4599,4588,4570,4573,4589,4582,4618,4649,4601,4665,4592,4603,4596,4621,4613,4668,4600,4617,4582,4604,0,4591,4615,4618,4584,4612,4573,4662,4565,4558,4599,4574,4613,4592,4584,4567,4582,4591,4593,4656,4656,0,4601,4603,4665,4593,4615,4570,4588,4593,4552,4543,4583,4611,4609,4603,4583,4593,4588,4578,4610,4610,0,4576,4585,4558,4604,4609,4587,4585,4576,4617,4586,4607,4558,4588,4587,4579,4603,4571,4595,4592,4624,0,4646,4595,4608,4651,4629,4658,4611,4580,4612,4577,4580,4627,4599,4593,4616,4595,4605,4584,4592,4593,0,4643,4567,4580,4645,4565,4578,4591,4651,4622,4610,4600,4575,4604,4620,4585,4616,4619,4607,4586,4594,4610,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
