Fan Club MkIV (0.9) data log started on Thu 23 May 2019 22:27:14  using profile "Prov. Basement Tunnel"
Filename: "/home/asz/Projects/fan-club/master/flow_catalog_b1/spanwise-2D/center/ctg9-2_sonar_0-0_075.csv"
Modules: |"1": B1 - "00:80:e1:4b:00:36" | "2": B2 - "00:80:e1:2f:00:1d" | "3": B3 - "00:80:e1:29:00:2e" | "4": B4 - "00:80:e1:27:00:3e" | "5": B5 - "00:80:e1:4b:00:42" | "6": B6 - "00:80:e1:47:00:3d" | 
Dimensions (rows, columns, layers): 11x11x1
Max Fans: 21
Fan Array Mapping(s):
	Mapping 1: {0: {0: 63, 1: 64, 2: 65, 3: 66, 4: 67, 5: 103, 6: 101, 7: 97, 8: 93, 9: 89, 10: 86, 11: 68, 12: 69, 13: 70, 14: 71, 15: 72, 16: 102, 17: 100, 18: 96, 19: 92, 20: 88, 21: 85, 22: 73, 23: 74, 24: 75, 25: 76, 26: 77, 27: 78, 28: 99, 29: 95, 30: 91, 31: 87, 32: 84, 33: 60, 34: 61, 35: 79, 36: 80, 37: 81, 38: 82, 39: 98, 40: 94, 41: 90, 42: 114, 43: 109, 44: 55, 45: 56, 46: 57, 47: 58, 48: 59, 49: 125, 50: 123, 51: 120, 52: 117, 53: 113, 54: 108, 55: 49, 56: 50, 57: 51, 58: 52, 59: 53, 60: 54, 61: 122, 62: 119, 63: 116, 64: 112, 65: 107, 66: 44, 67: 45, 68: 46, 69: 47, 70: 48, 71: 124, 72: 121, 73: 118, 74: 115, 75: 111, 76: 106, 77: 42, 78: 43, 79: 34, 80: 30, 81: 26, 82: 19, 83: 17, 84: 13, 85: 9, 86: 110, 87: 105, 88: 40, 89: 37, 90: 33, 91: 29, 92: 25, 93: 18, 94: 16, 95: 12, 96: 8, 97: 5, 98: 2, 99: 39, 100: 36, 101: 32, 102: 28, 103: 24, 104: 22, 105: 15, 106: 11, 107: 7, 108: 4, 109: 1, 110: 38, 111: 35, 112: 31, 113: 27, 114: 23, 115: 21, 116: 14, 117: 10, 118: 6, 119: 3, 120: 0}}
Steady function (Flattened. Replace ; for newline):
return 0.5;
Dynamic function (Flattened. Replace ; for newline):
# "Sonar" flow (spinner w/ B < 1);# Draws lines revolving around the center;# assuming comms. period of 100 ms;;t_0 = 20   # time step at which to start;t_f = 600  # time step at which to stop;;res = 75 # time steps per period;A = 0.25  # sine amplitude;B = .8  # number of "blades";D = 0.5  # DC offset;;c_center = C/2 - .5*(C%2);r_center = R/2 - .5*(R%2);;c_rad = (c - c_center)**2;r_rad = (r - r_center)**2;;;rad = math.sqrt(c_rad + r_rad);max_rad = math.sqrt(c_center**2 + r_center**2);;phase = 2*math.pi*(t/res);;x = c_center - c;y = r_center - r;d = math.sqrt(x**2 + y**2);;;if t < t_0:;	return D;if t_f is not None and t > t_f:;	return D;else:;	return A*math.sin(math.atan2(y, x)*B + phase) + D if d != 0 else D;
Column headers are of the form s[MODULE#][type][FAN#]with type being first "rpm" and then all "dc"
Time (s),s1rpm1,s1rpm2,s1rpm3,s1rpm4,s1rpm5,s1rpm6,s1rpm7,s1rpm8,s1rpm9,s1rpm10,s1rpm11,s1rpm12,s1rpm13,s1rpm14,s1rpm15,s1rpm16,s1rpm17,s1rpm18,s1rpm19,s1rpm20,s1rpm21,s2rpm1,s2rpm2,s2rpm3,s2rpm4,s2rpm5,s2rpm6,s2rpm7,s2rpm8,s2rpm9,s2rpm10,s2rpm11,s2rpm12,s2rpm13,s2rpm14,s2rpm15,s2rpm16,s2rpm17,s2rpm18,s2rpm19,s2rpm20,s2rpm21,s3rpm1,s3rpm2,s3rpm3,s3rpm4,s3rpm5,s3rpm6,s3rpm7,s3rpm8,s3rpm9,s3rpm10,s3rpm11,s3rpm12,s3rpm13,s3rpm14,s3rpm15,s3rpm16,s3rpm17,s3rpm18,s3rpm19,s3rpm20,s3rpm21,s4rpm1,s4rpm2,s4rpm3,s4rpm4,s4rpm5,s4rpm6,s4rpm7,s4rpm8,s4rpm9,s4rpm10,s4rpm11,s4rpm12,s4rpm13,s4rpm14,s4rpm15,s4rpm16,s4rpm17,s4rpm18,s4rpm19,s4rpm20,s4rpm21,s5rpm1,s5rpm2,s5rpm3,s5rpm4,s5rpm5,s5rpm6,s5rpm7,s5rpm8,s5rpm9,s5rpm10,s5rpm11,s5rpm12,s5rpm13,s5rpm14,s5rpm15,s5rpm16,s5rpm17,s5rpm18,s5rpm19,s5rpm20,s5rpm21,s6rpm1,s6rpm2,s6rpm3,s6rpm4,s6rpm5,s6rpm6,s6rpm7,s6rpm8,s6rpm9,s6rpm10,s6rpm11,s6rpm12,s6rpm13,s6rpm14,s6rpm15,s6rpm16,s6rpm17,s6rpm18,s6rpm19,s6rpm20,s6rpm21,s1dc1,s1dc2,s1dc3,s1dc4,s1dc5,s1dc6,s1dc7,s1dc8,s1dc9,s1dc10,s1dc11,s1dc12,s1dc13,s1dc14,s1dc15,s1dc16,s1dc17,s1dc18,s1dc19,s1dc20,s1dc21,s2dc1,s2dc2,s2dc3,s2dc4,s2dc5,s2dc6,s2dc7,s2dc8,s2dc9,s2dc10,s2dc11,s2dc12,s2dc13,s2dc14,s2dc15,s2dc16,s2dc17,s2dc18,s2dc19,s2dc20,s2dc21,s3dc1,s3dc2,s3dc3,s3dc4,s3dc5,s3dc6,s3dc7,s3dc8,s3dc9,s3dc10,s3dc11,s3dc12,s3dc13,s3dc14,s3dc15,s3dc16,s3dc17,s3dc18,s3dc19,s3dc20,s3dc21,s4dc1,s4dc2,s4dc3,s4dc4,s4dc5,s4dc6,s4dc7,s4dc8,s4dc9,s4dc10,s4dc11,s4dc12,s4dc13,s4dc14,s4dc15,s4dc16,s4dc17,s4dc18,s4dc19,s4dc20,s4dc21,s5dc1,s5dc2,s5dc3,s5dc4,s5dc5,s5dc6,s5dc7,s5dc8,s5dc9,s5dc10,s5dc11,s5dc12,s5dc13,s5dc14,s5dc15,s5dc16,s5dc17,s5dc18,s5dc19,s5dc20,s5dc21,s6dc1,s6dc2,s6dc3,s6dc4,s6dc5,s6dc6,s6dc7,s6dc8,s6dc9,s6dc10,s6dc11,s6dc12,s6dc13,s6dc14,s6dc15,s6dc16,s6dc17,s6dc18,s6dc19,s6dc20,s6dc21,
0.06206059455871582,5680,5693,5680,5684,5722,5690,5705,5731,5746,5731,5656,5732,5697,5693,5709,5759,5714,5697,5718,5730,0,5707,5724,5714,5685,5707,5653,5710,5678,5665,5701,5680,5744,5698,5680,5693,5698,5714,5686,5695,5717,0,5741,5735,5697,5703,5759,5727,5698,5754,5662,5689,5726,5834,5720,5709,5708,5714,5744,5697,5747,5737,0,5792,5706,5685,5804,5734,5717,5693,5708,5818,5807,5722,5689,5729,5739,5717,5818,5689,5719,5714,5726,0,5702,5723,5732,5810,5707,5726,5750,5804,5842,5682,5788,5733,5837,5714,5773,5723,5749,5697,5730,5813,0,5736,5676,5730,11419,5798,5725,5697,5706,5684,5754,5710,5781,5739,5714,5769,5726,5770,5727,5653,5706,5738,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.16513395309448242,5681,5695,5680,5686,5720,5688,5708,5729,5744,5720,5655,5736,5696,5716,5712,5761,5712,5702,5714,5726,0,5707,5724,5714,5685,5707,5653,5710,5678,5665,5701,5680,5744,5698,5680,5693,5698,5714,5686,5695,5717,0,5741,5735,5697,5703,5759,5727,5698,5754,5662,5689,5726,5834,5720,5709,5708,5714,5744,5697,5747,5737,0,5792,5706,5685,5804,5734,5717,5693,5708,5818,5807,5722,5689,5729,5739,5717,5818,5689,5719,5714,5726,0,5708,5726,5731,5807,5705,5733,5746,5800,5828,5685,5782,5735,5836,5719,5763,5721,5738,5706,5738,5810,0,5736,5676,5730,11419,5798,5725,5697,5706,5684,5754,5710,5781,5739,5714,5769,5726,5770,5727,5653,5706,5738,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.2681901454925537,5681,5695,5680,5686,5720,5688,5708,5729,5744,5720,5655,5736,5696,5716,5712,5761,5712,5702,5714,5726,0,5706,5725,5726,5675,5715,5654,5702,5676,5678,5690,5683,5742,5705,5687,5691,5682,5706,5683,5699,5710,0,5742,5738,5699,5706,5755,5729,5687,5753,5667,5690,5735,5840,5725,5701,5710,5708,5735,5696,5748,5738,0,5803,5712,5686,5803,5745,5715,5699,5704,5817,5806,5719,5680,5724,5743,5720,5821,5688,5725,5710,5723,0,5708,5726,5731,5807,5705,5733,5746,5800,5828,5685,5782,5735,5836,5719,5763,5721,5738,5706,5738,5810,0,5736,5676,5730,11419,5798,5725,5697,5706,5684,5754,5710,5781,5739,5714,5769,5726,5770,5727,5653,5706,5738,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.37116312980651855,5681,5695,5680,5686,5720,5688,5708,5729,5744,5720,5655,5736,5696,5716,5712,5761,5712,5702,5714,5726,0,5706,5725,5726,5675,5715,5654,5702,5676,5678,5690,5683,5742,5705,5687,5691,5682,5706,5683,5699,5710,0,5742,5738,5699,5706,5755,5729,5687,5753,5667,5690,5735,5840,5725,5701,5710,5708,5735,5696,5748,5738,0,5803,5712,5686,5803,5745,5715,5699,5704,5817,5806,5719,5680,5724,5743,5720,5821,5688,5725,5710,5723,0,5708,5726,5731,5807,5705,5733,5746,5800,5828,5685,5782,5735,5836,5719,5763,5721,5738,5706,5738,5810,0,5735,5679,5724,5713,5799,5723,5694,5712,5693,5757,5699,5788,5731,5714,5760,5740,5759,5719,5639,5711,5749,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.47407007217407227,5670,5696,5682,5682,5727,5677,5713,5733,5742,5728,5651,5737,5702,5701,5708,5769,5703,5703,5715,5719,0,5706,5725,5726,5675,5715,5654,5702,5676,5678,5690,5683,5742,5705,5687,5691,5682,5706,5683,5699,5710,0,5742,5738,5699,5706,5755,5729,5687,5753,5667,5690,5735,5840,5725,5701,5710,5708,5735,5696,5748,5738,0,5793,5714,5699,5796,5745,5714,5702,5701,5814,5807,5720,5681,5725,5743,5713,5806,5698,5720,5710,5725,0,5707,5727,5728,5806,5706,5729,5743,5806,5828,5686,5784,5733,5830,5720,5758,5728,5727,5705,5740,5813,0,5735,5679,5724,5713,5799,5723,5694,5712,5693,5757,5699,5788,5731,5714,5760,5740,5759,5719,5639,5711,5749,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.5770339965820312,5670,5696,5682,5682,5727,5677,5713,5733,5742,5728,5651,5737,5702,5701,5708,5769,5703,5703,5715,5719,0,5701,5733,5730,5679,5712,5658,5707,5676,5682,5700,11402,5741,5697,5677,5684,5694,5711,5675,5711,5705,0,5741,5740,5705,5710,5750,5722,5708,5755,5658,5692,5732,5838,5729,5709,5712,5705,5739,5696,5748,5741,0,5793,5714,5699,5796,5745,5714,5702,5701,5814,5807,5720,5681,5725,5743,5713,5806,5698,5720,5710,5725,0,5707,5727,5728,5806,5706,5729,5743,5806,5828,5686,5784,5733,5830,5720,5758,5728,5727,5705,5740,5813,0,5739,5691,5707,5700,5802,5718,5695,5718,5696,5752,5703,5783,5736,5711,5744,5735,5775,5694,5715,5717,5728,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.6798999309539795,5675,5699,5679,5681,5728,5678,5715,5738,5742,5731,5647,5733,5704,5699,5706,5762,5712,5723,5709,5717,0,5701,5733,5730,5679,5712,5658,5707,5676,5682,5700,11402,5741,5697,5677,5684,5694,5711,5675,5711,5705,0,5741,5740,5705,5710,5750,5722,5708,5755,5658,5692,5732,5838,5729,5709,5712,5705,5739,5696,5748,5741,0,5793,5714,5699,5796,5745,5714,5702,5701,5814,5807,5720,5681,5725,5743,5713,5806,5698,5720,5710,5725,0,5707,5727,5728,5806,5706,5729,5743,5806,5828,5686,5784,5733,5830,5720,5758,5728,5727,5705,5740,5813,0,5739,5691,5707,5700,5802,5718,5695,5718,5696,5752,5703,5783,5736,5711,5744,5735,5775,5694,5715,5717,5728,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.7828454971313477,5675,5699,5679,5681,5728,5678,5715,5738,5742,5731,5647,5733,5704,5699,5706,5762,5712,5723,5709,5717,0,5701,5733,5730,5679,5712,5658,5707,5676,5682,5700,11402,5741,5697,5677,5684,5694,5711,5675,5711,5705,0,5741,5740,5705,5710,5750,5722,5708,5755,5658,5692,5732,5838,5729,5709,5712,5705,5739,5696,5748,5741,0,5790,5709,5702,5800,5743,5713,5705,5709,5815,5806,5721,5680,5726,5740,5707,5808,5695,5711,5702,5728,0,5713,5724,5731,5797,5706,5727,5743,5805,5837,5687,5778,5736,5833,5714,5757,5725,5732,5699,5755,5809,0,5739,5691,5707,5700,5802,5718,5695,5718,5696,5752,5703,5783,5736,5711,5744,5735,5775,5694,5715,5717,5728,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
0.8857593536376953,5675,5699,5679,5681,5728,5678,5715,5738,5742,5731,5647,5733,5704,5699,5706,5762,5712,5723,5709,5717,0,5701,5747,5728,5667,5713,5651,5712,5673,5674,5703,5693,5751,5701,5679,5685,5690,5704,5676,5718,5712,0,5746,5730,5700,5713,5747,5721,5702,5757,5655,5692,5731,5840,5723,5716,5704,5715,5741,5702,5746,5740,0,5790,5709,5702,5800,5743,5713,5705,5709,5815,5806,5721,5680,5726,5740,5707,5808,5695,5711,5702,5728,0,5713,5724,5731,5797,5706,5727,5743,5805,5837,5687,5778,5736,5833,5714,5757,5725,5732,5699,5755,5809,0,5737,5693,5702,5699,5804,5711,5708,5722,5701,5742,5709,5785,5733,5706,5745,5729,5742,5712,5728,5729,5747,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1.037771224975586,5675,5696,5679,5681,5723,5680,5711,5739,5734,5719,5644,5732,5705,5710,5708,5756,5713,5715,5718,5730,0,5701,5747,5728,5667,5713,5651,5712,5673,5674,5703,5693,5751,5701,5679,5685,5690,5704,5676,5718,5712,0,5746,5730,5700,5713,5747,5721,5702,5757,5655,5692,5731,5840,5723,5716,5704,5715,5741,5702,5746,5740,0,5790,5709,5702,5800,5743,5713,5705,5709,5815,5806,5721,5680,5726,5740,5707,5808,5695,5711,5702,5728,0,5713,5724,5731,5797,5706,5727,5743,5805,5837,5687,5778,5736,5833,5714,5757,5725,5732,5699,5755,5809,0,5737,5693,5702,5699,5804,5711,5708,5722,5701,5742,5709,5785,5733,5706,5745,5729,5742,5712,5728,5729,5747,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
